Title,Year,Source title,Link,Index Keywords,In/Out,subject,use type,source,full text
Is demonetisation a windfall for the banking sector? Evidence from the Indian stock market,2017,Economics Bulletin,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018943420&partnerID=40&md5=ab0b962d7c7843b3b464bfdfa8afd7d7,,in,"Economics, Econometrics and Finance ","ancillary data source for new analysis (e.g., as base map)",,
A fuzzy goal programming approach to analyse sustainable development goals of India,2017,Applied Economics Letters,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979995664&doi=10.1080%2f13504851.2016.1200178&partnerID=40&md5=2c4694b497ad5a28377a7ea6be26ca2c,,maybe,,,,no
"Characteristics of human - Sloth bear (Melursus ursinus) encounters and the resulting human casualties in the Kanha-Pench corridor, Madhya Pradesh, India",2017,PLoS ONE,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018317288&doi=10.1371%2fjournal.pone.0176612&partnerID=40&md5=1fe5138bab354dd7438e8cc6c87178df,accident; adult; bear; compensation; construction work; controlled study; female; forest; grazing; human; human experiment; livestock; Madhya Pradesh; male; nonhuman; sloth; summer; victim; winter,in,Agricultural and Biological Sciences ,"ancillary data source for new analysis (e.g., as base map)",,
Next directions in experimental data for seismic hazard mitigation,2017,Engineering Structures,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012025863&doi=10.1016%2fj.engstruct.2016.12.012&partnerID=40&md5=68429d7d1b2764e8599b3162f9da2ca0,Earthquake engineering; Engineering geology; Geophysics; Hazards; Interoperability; Semantic Web; Distributed systems; Earthquake hazard mitigation; Experimental data; International collaborations; International Partnerships; Laboratory experiments; Long-term preservation; Semantic Web technology; Data integration,maybe,Environmental Science,"used to demonstrate the effectiveness of a proposed new method (e.g., a new visualization method). ",,
"Wild versus domestic prey in the diet of reintroduced tigers (Panthera tigris) in the livestock-dominated multiple-use forests of Panna Tiger Reserve, India",2017,PLoS ONE,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017018998&doi=10.1371%2fjournal.pone.0174844&partnerID=40&md5=2b1e89713674f526a87f3cdcd4f06888,,maybe,Agricultural and Biological Sciences ,Providing study background,,
"Hydrogeochemical processes and contaminants enrichment with special emphasis on fluoride in groundwater of Birbhum district, West Bengal, India",2017,Environmental Earth Sciences,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017138071&doi=10.1007%2fs12665-017-6584-y&partnerID=40&md5=e9b29e48187d068dcd1e9fb8f81f8aff,Calcium carbonate; Cluster analysis; Dissolution; Fluorine compounds; Groundwater; Groundwater pollution; Hydrochemistry; Ion exchange; Ions; Lithology; Potable water; Rocks; Silicates; Weathering; Anthropogenic inputs; Birbhum district; Degree of weatherings; Elevated concentrations; Fluoride; Hydro geochemistries; Hydrogeochemical process; India; Process control,in,Earth and Planetary Science ,Providing study background,,
"Is tropical cyclone surge, not intensity, what kills so many people in south Asia?",2017,"Weather, Climate, and Society",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014087271&doi=10.1175%2fWCAS-D-16-0059.1&partnerID=40&md5=cdccd5599e14d9aaab8ed94f5ed4a813,,in,Earth and Planetary Science ,main data source for new analysis,,
Implementation of random forest algorithm for crop mapping across an aridic to ustic area of Indian states,2017,Journal of Applied Remote Sensing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018788142&doi=10.1117%2f1.JRS.11.026005&partnerID=40&md5=577417d8859ee82a6a506cd46b7826b7,Decision trees; Infrared devices; Mapping; Soil moisture; Climate variables; Crop classification; Model development; Near infrared band; Predictor variables; Random forest algorithm; Random forests; Spectral response; Crops,in,Earth and Planetary Science ,main data source for new analysis,,
Refinement of the Legislative Test Cell Conditions Based on Local Real World Ambient Condition,2017,SAE Technical Papers,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018419270&doi=10.4271%2f2017-01-0991&partnerID=40&md5=8be483374628c0e820a85f08d5d770ec,,maybe,,,,no
Facial features monitoring for real time drowsiness detection,2017,"Proceedings of the 2016 12th International Conference on Innovations in Information Technology, IIT 2016",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017637449&doi=10.1109%2fINNOVATIONS.2016.7880030&partnerID=40&md5=944ad3fa582e9104e9ed2a54e7dcc781,Human computer interaction; Support vector machines; Template matching; Correlation coefficient; Drowsiness detection; K-means; Sobel edge; Viola jones; Feature extraction,maybe,Computer Science ,"Providing study background (describing study area or population, support a claim in introduction/motivation)",,
Exergy optimization of cooling tower for HGSHP and HVAC applications,2017,Energy Conversion and Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009837009&doi=10.1016%2fj.enconman.2017.01.024&partnerID=40&md5=ed9907ed5ae9d0de4e0dc1d5fb319118,,,,,,
Open government data policy and Indian ecosystems,2017,ACM International Conference Proceeding Series,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020912106&doi=10.1145%2f3047273.3047363&partnerID=40&md5=a6e4c660072491a1ef50413ec77e1c5b,Developing countries; Ecology; Economics; Ecosystems; Government data processing; Transportation; Data platform; Data Sharing; Informatics; NDSAP; OGD platform; Open datum; Open government data; Public policy,,,,,
Web accessibility assessment of government web solutions: A case study in digital India,2017,ACM International Conference Proceeding Series,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020903044&doi=10.1145%2f3047273.3047323&partnerID=40&md5=e10137ec0b26b7ae79201d4972e486ba,Compliant mechanisms; Government data processing; Standards; Transportation; Certified quality website (CQW); GIGW; Government of India; Guideline; Indian government; Informatics; WCAG; Web accessibility; Web usability; Website quality; Websites,,,,,
A step towards empowerment and digital inclusion of rural public in India,2017,ACM International Conference Proceeding Series,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020893506&doi=10.1145%2f3047273.3047283&partnerID=40&md5=6d7059264482ed289bb81fe3acb758cc,Government data processing; Rural areas; Surveys; Transparency; Accountability; Digital inclusion; E-governance; Responsiveness; Rural population; Economic and social effects,,,,,
A big data analytics framework for enterprise service ecosystems in an e-Governance scenario,2017,ACM International Conference Proceeding Series,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020852973&doi=10.1145%2f3047273.3047274&partnerID=40&md5=dea85883873c3873bb03d39e3f2f905d,Authentication; Big data; Data mining; Ecology; Government data processing; Complex event processing; Data analytics; E-governance; Enterprise services; Event data; Graph analytics; Process mining; Ecosystems,,,,,
"Bibliography of open data on Indian power sector: Part 1: Electrical systems, operations and markets",2017,"2016 National Power Systems Conference, NPSC 2016",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015816731&doi=10.1109%2fNPSC.2016.7858974&partnerID=40&md5=783172f1b14d25d57f352463e37b8369,Bibliographies; Commerce; Data-sources; Electrical systems; Indian power sectors; Information age; Information and Communication Technologies; Paradigm shifts; Power infrastructures; Power sector; National security,,,,,
Analysis of factors affecting enrollment pattern in Indian universities using k-means clustering,2017,"2016 International Conference on Information Technology, InCITe 2016 - The Next Generation IT Summit on the Theme - Internet of Things: Connect your Worlds",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015872396&doi=10.1109%2fINCITE.2016.7857639&partnerID=40&md5=2557b511a8bef1dbbe335ae839c1b003,Data mining; Economics; Education; clustering; Economic growths; Education sectors; Educational data mining; enrollment analysis; K-means clustering; K-means clustering techniques; Skilled manpower; Cluster analysis,,,,,
Parallel computing based iterative approach for the substantial weather forecasting,2017,"2016 International Conference on Signal and Information Processing, IConSIP 2016",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016110799&doi=10.1109%2fICONSIP.2016.7857467&partnerID=40&md5=b2e929cdd655ba53eb38d596d94b0126,Data handling; Forecasting; Government data processing; Iterative methods; Linear regression; Manufacture; Manufacturing data processing; Online systems; Parallel processing systems; Real time systems; Computational environments; Historical data; Iterative approach; Online shopping portals; Parallel computing platform; Processing power; Real-time application; Social networking sites; Weather forecasting,,,,,
Adoption disclosure: experiences of Indian domestic adoptive parents,2017,Child and Family Social Work,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013392380&doi=10.1111%2fcfs.12175&partnerID=40&md5=660321b5e6985f2f568adb7f8402da5b,adoption; adoptive parent; child; human; human experiment; India; logistic regression analysis; parenthood; social network; theoretical model,,,,,
A novel approach for intelligent crime pattern discovery and prediction,2017,"Proceedings of 2016 International Conference on Advanced Communication Control and Computing Technologies, ICACCCT 2016",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014285330&doi=10.1109%2fICACCCT.2016.7831697&partnerID=40&md5=b0f7ffea34259899d4ba39b85b454be8,Classification (of information); Correlation methods; Decision trees; Forecasting; Metadata; CIP(Crime Intensity Point); Correlation analysis; Data transformation; Fp Max; FP tree; Knowledge discovery process; Crime,,,,,
On-Board Diagnostic Related Challenges on Two-Wheelers Related to the Upcoming Bharat Stage VI Emission Standards,2017,SAE Technical Papers,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018697058&doi=10.4271%2f2017-26-0147&partnerID=40&md5=d53aa7e1a6b251abae32e66d67f3c6b3,Automobiles; Control systems; Standards; Transportation; Vehicles; Electronic control units; Emission performance; Emission standard; Maintenance and inspections; On board diagnostics; Performance ratio; System monitors; Two wheelers; Commercial vehicles,,,,,
Proposing the systems to provide protection of vehicles against theft and accident,2017,"2016 IEEE International Conference on Recent Trends in Electronics, Information and Communication Technology, RTEICT 2016 - Proceedings",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015043093&doi=10.1109%2fRTEICT.2016.7808119&partnerID=40&md5=6777d7f541a16fad5386d989dce55af0,,,,,,
Prediction of road accident modelling for Indian National Highways,2017,International Journal of Civil Engineering and Technology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013896783&partnerID=40&md5=b1327c30c96aedcbf4e06eab3dc204b8,,,,,,
Learning to stand on their own: contradictory media representations of Burmese refugees by nonprofit organizations,2017,Critical Studies in Media Communication,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000501903&doi=10.1080%2f15295036.2016.1258716&partnerID=40&md5=3871a8cf25a9f750a943c2d76d70ddce,,,,,,
"Modern technologies in public administration management: A comparison of Estonia, India and United Kingdom",2017,Administratie si Management Public,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020384010&partnerID=40&md5=621adba7ea5db782d37ef231c3fd19b4,,,,,,
Assessment of interstate freight vehicle characteristics and impact of future emission and fuel economy standards on their emissions in India,2017,Energy Policy,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019994445&doi=10.1016%2fj.enpol.2017.05.053&partnerID=40&md5=6f52a6fd6b745dea8e693bb9108d240d,Crashworthiness; Economics; Emission control; Energy policy; Energy utilization; Environmental impact; Fleet operations; Freight cars; Fuels; Standards; Transportation; Vehicles; Economic growths; Emission reduction; Emission standard; Freight; Fuel-economy standards; Highway traffic; India; Origin destination; Fuel economy,,,,,
Open data for democracy: Developing a theoretical framework for open data use,2017,Government Information Quarterly,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009187556&doi=10.1016%2fj.giq.2017.01.001&partnerID=40&md5=b33d1988d39fa7ccaef106cd9726c9de,,,,,,
Regression Models of Highway Traffic Crashes: A Review of Recent Research and Future Research Needs,2017,Procedia Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020541607&doi=10.1016%2fj.proeng.2017.04.350&partnerID=40&md5=d67b0ce428c9292b408f8c33ce42aadb,Developing countries; Forecasting; Motor transportation; Regression analysis; Roads and streets; Transportation; Crash prediction; Heterogeneous traffic; Highway traffic; Over dispersion; Recent researches; Regression model; Traffic compositions; Unified method; Highway accidents,,,,,
